title,budget_usd,opening_weekend_domestic_usd,domestic_gross_usd,worldwide_gross_usd,budget_source,gross_source,notes
Iron Man,186000000,102118668,318604126,584877827,The Numbers,The Numbers,
The Incredible Hulk,137500000,55414050,134806913,265573859,The Numbers,The Numbers,
Iron Man 2,170000000,128122480,312433331,621156389,The Numbers,The Numbers,
Thor,150000000,65723338,181030624,449326618,The Numbers,The Numbers,
Captain America: The First Avenger,140000000,65058524,176654505,370569776,The Numbers,The Numbers,
The Avengers,225000000,207438708,623357910,1515100211,The Numbers,The Numbers,
Iron Man 3,200000000,174144585,408992272,1214630956,The Numbers,The Numbers,
Thor: The Dark World,150000000,85737841,206362140,644602516,The Numbers,The Numbers,
Captain America: The Winter Soldier,170000000,95023721,259746958,714401889,The Numbers,The Numbers,
Guardians of the Galaxy,170000000,94320883,333714112,770882395,The Numbers,The Numbers,
Avengers: Age of Ultron,365000000,191271109,459005868,1395316979,The Numbers,The Numbers,
Ant-Man,130000000,57225526,180202163,518858449,The Numbers,The Numbers,
Captain America: Civil War,250000000,179139142,408084349,1151899586,The Numbers,The Numbers,
Doctor Strange,165000000,85058311,232641920,676343174,The Numbers,The Numbers,
Guardians of the Galaxy Vol. 2,200000000,146510104,389813101,869087963,The Numbers,The Numbers,
Spider-Man: Homecoming,175000000,117027503,334580976,878852749,The Numbers,The Numbers,
Thor: Ragnarok,180000000,122744989,315058289,850482778,The Numbers,The Numbers,
Black Panther,200000000,202003951,700059566,1334157082,The Numbers,The Numbers,
Avengers: Infinity War,300000000,257698183,678815482,2048158241,The Numbers,The Numbers,
Ant-Man and the Wasp,130000000,75812205,216648740,623144660,The Numbers,The Numbers,
Captain Marvel,175000000,153433423,426829839,1129576094,The Numbers,The Numbers,
Avengers: Endgame,400000000,357115007,858373000,2717503922,The Numbers,The Numbers,
Spider-Man: Far From Home,160000000,92579212,391362492,1132298674,The Numbers,The Numbers,
Black Widow,200000000,80366312,183651655,379751131,The Numbers,The Numbers,
Shang-Chi and the Legend of the Ten Rings,150000000,75388688,224543292,432233010,The Numbers,The Numbers,
Eternals,200000000,71297219,164870264,402064929,The Numbers,The Numbers,
Spider-Man: No Way Home,200000000,260138569,814811535,1921206586,The Numbers,The Numbers,
Doctor Strange in the Multiverse of Madness,200000000,187420998,411331607,955775804,The Numbers,The Numbers,
Thor: Love and Thunder,250000000,144165107,343256830,760928081,The Numbers,The Numbers,
Black Panther: Wakanda Forever,250000000,181339761,453829060,859208836,The Numbers,The Numbers,
Ant-Man and the Wasp: Quantumania,200000000,106109650,214504909,476071180,The Numbers,The Numbers,
Guardians of the Galaxy Vol. 3,250000000,118414021,358995815,845555777,The Numbers,The Numbers,
The Marvels,270000000,46110859,84500223,206136825,The Numbers,The Numbers,
Deadpool & Wolverine,200000000,211435291,636745858,1338073645,The Numbers,The Numbers,
Captain America: Brave New World,180000000,88842603,200500001,415101577,The Numbers,The Numbers,
Thunderbolts*,180000000,74300608,190274328,382436917,The Numbers,The Numbers,
