film_title,tmdb_id,person_name,character_name,billing_order
Iron Man,1726,Robert Downey Jr.,Tony Stark,0
Iron Man,1726,Terrence Howard,Rhodey,1
Iron Man,1726,Jeff Bridges,Obadiah Stane,2
Iron Man,1726,Gwyneth Paltrow,Pepper Potts,3
Iron Man,1726,Leslie Bibb,Christine Everhart,4
Iron Man,1726,Shaun Toub,Yinsen,5
Iron Man,1726,Faran Tahir,Raza,6
Iron Man,1726,Clark Gregg,Agent Coulson,7
Iron Man,1726,Bill Smitrovich,General Gabriel,8
Iron Man,1726,Sayed Badreya,Abu Bakaar,9
The Incredible Hulk,1724,Edward Norton,Bruce Banner,0
The Incredible Hulk,1724,Liv Tyler,Betty Ross,1
The Incredible Hulk,1724,Tim Roth,Emil Blonsky,2
The Incredible Hulk,1724,William Hurt,General 'Thunderbolt' Ross,3
The Incredible Hulk,1724,Tim Blake Nelson,Samuel Sterns,4
The Incredible Hulk,1724,Ty Burrell,Leonard,5
The Incredible Hulk,1724,Christina Cabot,Major Kathleen Sparr,6
The Incredible Hulk,1724,Peter Mensah,General Joe Greller,7
The Incredible Hulk,1724,Lou Ferrigno,Voice of The Incredible Hulk / Security Guard,8
The Incredible Hulk,1724,Paul Soles,Stanley,9
Iron Man 2,10138,Robert Downey Jr.,Tony Stark,0
Iron Man 2,10138,Gwyneth Paltrow,Pepper Potts,1
Iron Man 2,10138,Don Cheadle,Lt. Col. James 'Rhodey' Rhodes,2
Iron Man 2,10138,Scarlett Johansson,Natalie Rushman / Natasha Romanoff,3
Iron Man 2,10138,Sam Rockwell,Justin Hammer,4
Iron Man 2,10138,Mickey Rourke,Ivan Vanko,5
Iron Man 2,10138,Samuel L. Jackson,Nick Fury,6
Iron Man 2,10138,Clark Gregg,Agent Coulson,7
Iron Man 2,10138,John Slattery,Howard Stark,8
Iron Man 2,10138,Garry Shandling,Senator Stern,9
Thor,10195,Chris Hemsworth,Thor,0
Thor,10195,Natalie Portman,Jane Foster,1
Thor,10195,Tom Hiddleston,Loki,2
Thor,10195,Anthony Hopkins,Odin,3
Thor,10195,Stellan Skarsgård,Erik Selvig,4
Thor,10195,Kat Dennings,Darcy Lewis,5
Thor,10195,Clark Gregg,Agent Coulson,6
Thor,10195,Colm Feore,King Laufey,7
Thor,10195,Idris Elba,Heimdall,8
Thor,10195,Ray Stevenson,Volstagg,9
Captain America: The First Avenger,1771,Chris Evans,Captain America / Steve Rogers,0
Captain America: The First Avenger,1771,Hayley Atwell,Peggy Carter,1
Captain America: The First Avenger,1771,Sebastian Stan,James Buchanan 'Bucky' Barnes,2
Captain America: The First Avenger,1771,Tommy Lee Jones,Colonel Chester Phillips,3
Captain America: The First Avenger,1771,Hugo Weaving,Johann Schmidt / Red Skull,4
Captain America: The First Avenger,1771,Dominic Cooper,Howard Stark,5
Captain America: The First Avenger,1771,Richard Armitage,Heinz Kruger,6
Captain America: The First Avenger,1771,Stanley Tucci,Dr. Abraham Erskine,7
Captain America: The First Avenger,1771,Samuel L. Jackson,Nick Fury,8
Captain America: The First Avenger,1771,Toby Jones,Dr. Arnim Zola,9
The Avengers,24428,Robert Downey Jr.,Tony Stark / Iron Man,0
The Avengers,24428,Chris Evans,Steve Rogers / Captain America,1
The Avengers,24428,Mark Ruffalo,Bruce Banner / The Hulk,2
The Avengers,24428,Chris Hemsworth,Thor,3
The Avengers,24428,Scarlett Johansson,Natasha Romanoff / Black Widow,4
The Avengers,24428,Jeremy Renner,Clint Barton / Hawkeye,5
The Avengers,24428,Tom Hiddleston,Loki,6
The Avengers,24428,Clark Gregg,Agent Phil Coulson,7
The Avengers,24428,Cobie Smulders,Agent Maria Hill,8
The Avengers,24428,Stellan Skarsgård,Selvig,9
Iron Man 3,68721,Robert Downey Jr.,Tony Stark,0
Iron Man 3,68721,Gwyneth Paltrow,Pepper Potts,1
Iron Man 3,68721,Don Cheadle,Colonel James Rhodes,2
Iron Man 3,68721,Guy Pearce,Aldrich Killian,3
Iron Man 3,68721,Rebecca Hall,Maya Hansen,4
Iron Man 3,68721,Jon Favreau,Happy Hogan,5
Iron Man 3,68721,Ben Kingsley,Trevor Slattery,6
Iron Man 3,68721,James Badge Dale,Savin,7
Iron Man 3,68721,Stephanie Szostak,Brandt,8
Iron Man 3,68721,Paul Bettany,Jarvis (voice),9
Thor: The Dark World,76338,Chris Hemsworth,Thor,0
Thor: The Dark World,76338,Natalie Portman,Jane Foster,1
Thor: The Dark World,76338,Tom Hiddleston,Loki,2
Thor: The Dark World,76338,Christopher Eccleston,Malekith,3
Thor: The Dark World,76338,Anthony Hopkins,Odin,4
Thor: The Dark World,76338,Jaimie Alexander,Sif,5
Thor: The Dark World,76338,Zachary Levi,Fandral,6
Thor: The Dark World,76338,Ray Stevenson,Volstagg,7
Thor: The Dark World,76338,Tadanobu Asano,Hogun,8
Thor: The Dark World,76338,Idris Elba,Heimdall,9
Captain America: The Winter Soldier,100402,Chris Evans,Steve Rogers / Captain America,0
Captain America: The Winter Soldier,100402,Samuel L. Jackson,Nick Fury,1
Captain America: The Winter Soldier,100402,Scarlett Johansson,Natasha Romanoff / Black Widow,2
Captain America: The Winter Soldier,100402,Robert Redford,Alexander Pierce,3
Captain America: The Winter Soldier,100402,Sebastian Stan,Bucky Barnes / Winter Soldier,4
Captain America: The Winter Soldier,100402,Anthony Mackie,Sam Wilson / Falcon,5
Captain America: The Winter Soldier,100402,Cobie Smulders,Maria Hill,6
Captain America: The Winter Soldier,100402,Frank Grillo,Brock Rumlow,7
Captain America: The Winter Soldier,100402,Maximiliano Hernández,Jasper Sitwell,8
Captain America: The Winter Soldier,100402,Emily VanCamp,Kate / Agent 13,9
Guardians of the Galaxy,118340,Chris Pratt,Peter Quill,0
Guardians of the Galaxy,118340,Zoe Saldaña,Gamora,1
Guardians of the Galaxy,118340,Dave Bautista,Drax,2
Guardians of the Galaxy,118340,Vin Diesel,Groot (voice),3
Guardians of the Galaxy,118340,Bradley Cooper,Rocket (voice),4
Guardians of the Galaxy,118340,Lee Pace,Ronan,5
Guardians of the Galaxy,118340,Michael Rooker,Yondu Udonta,6
Guardians of the Galaxy,118340,Karen Gillan,Nebula,7
Guardians of the Galaxy,118340,Djimon Hounsou,Korath,8
Guardians of the Galaxy,118340,John C. Reilly,Corpsman Dey,9
Avengers: Age of Ultron,99861,Robert Downey Jr.,Tony Stark / Iron Man,0
Avengers: Age of Ultron,99861,Chris Hemsworth,Thor,1
Avengers: Age of Ultron,99861,Mark Ruffalo,Bruce Banner / Hulk,2
Avengers: Age of Ultron,99861,Chris Evans,Steve Rogers / Captain America,3
Avengers: Age of Ultron,99861,Scarlett Johansson,Natasha Romanoff / Black Widow,4
Avengers: Age of Ultron,99861,Jeremy Renner,Clint Barton / Hawkeye,5
Avengers: Age of Ultron,99861,James Spader,Ultron (voice),6
Avengers: Age of Ultron,99861,Samuel L. Jackson,Nick Fury,7
Avengers: Age of Ultron,99861,Don Cheadle,James Rhodes / War Machine,8
Avengers: Age of Ultron,99861,Aaron Taylor-Johnson,Pietro Maximoff / Quicksilver,9
Ant-Man,102899,Paul Rudd,Scott Lang / Ant-Man,0
Ant-Man,102899,Michael Douglas,Dr. Hank Pym,1
Ant-Man,102899,Evangeline Lilly,Hope van Dyne,2
Ant-Man,102899,Corey Stoll,Darren Cross / Yellowjacket,3
Ant-Man,102899,Bobby Cannavale,Paxton,4
Ant-Man,102899,Anthony Mackie,Sam Wilson / Falcon,5
Ant-Man,102899,Judy Greer,Maggie Lang,6
Ant-Man,102899,Abby Ryder Fortson,Cassie Lang,7
Ant-Man,102899,Michael Peña,Luis,8
Ant-Man,102899,David Dastmalchian,Kurt,9
