title,release_date,phase,tmdb_id
Iron Man,2008-05-02,Phase One,1726
The Incredible Hulk,2008-06-13,Phase One,1724
Iron Man 2,2010-05-07,Phase One,10138
Thor,2011-05-06,Phase One,10195
Captain America: The First Avenger,2011-07-22,Phase One,1771
The Avengers,2012-05-04,Phase One,24428
Iron Man 3,2013-05-03,Phase Two,68721
Thor: The Dark World,2013-11-08,Phase Two,76338
Captain America: The Winter Soldier,2014-04-04,Phase Two,100402
Guardians of the Galaxy,2014-08-01,Phase Two,118340
Avengers: Age of Ultron,2015-05-01,Phase Two,99861
Ant-Man,2015-07-17,Phase Two,102899
Captain America: Civil War,2016-05-06,Phase Three,271110
Doctor Strange,2016-11-04,Phase Three,284052
Guardians of the Galaxy Vol. 2,2017-05-05,Phase Three,283995
Spider-Man: Homecoming,2017-07-07,Phase Three,315635
Thor: Ragnarok,2017-11-03,Phase Three,284053
Black Panther,2018-02-16,Phase Three,284054
Avengers: Infinity War,2018-04-27,Phase Three,299536
Ant-Man and the Wasp,2018-07-06,Phase Three,363088
Captain Marvel,2019-03-08,Phase Three,299537
Avengers: Endgame,2019-04-26,Phase Three,299534
Spider-Man: Far From Home,2019-07-02,Phase Three,429617
Black Widow,2021-07-09,Phase Four,497698
Shang-Chi and the Legend of the Ten Rings,2021-09-03,Phase Four,566525
Eternals,2021-11-05,Phase Four,524434
Spider-Man: No Way Home,2021-12-17,Phase Four,634649
Doctor Strange in the Multiverse of Madness,2022-05-06,Phase Four,453395
Thor: Love and Thunder,2022-07-08,Phase Four,616037
Black Panther: Wakanda Forever,2022-11-11,Phase Four,505642
Ant-Man and the Wasp: Quantumania,2023-02-17,Phase Five,640146
Guardians of the Galaxy Vol. 3,2023-05-05,Phase Five,447365
The Marvels,2023-11-10,Phase Five,609681
Deadpool & Wolverine,2024-07-26,Phase Five,533535
Captain America: Brave New World,2025-02-14,Phase Six,822119
Thunderbolts*,2025-05-02,Phase Five,986056
