title,imdb_id,imdb_rating,imdb_votes,rotten_tomatoes_score,metascore,rated,box_office_omdb
Iron Man,tt0371746,7.9,"1,223,183",94%,79/100,PG-13,"$319,034,126"
The Incredible Hulk,tt0800080,6.6,"563,613",68%,61/100,PG-13,"$134,806,913"
Iron Man 2,tt1228705,6.9,"936,571",72%,57/100,PG-13,"$312,433,331"
Thor,tt0800369,7.0,"963,947",77%,57/100,PG-13,"$181,030,624"
Captain America: The First Avenger,tt0458339,6.9,"966,241",80%,66/100,PG-13,"$176,654,505"
The Avengers,tt0848228,8.0,"1,555,308",91%,69/100,PG-13,"$623,357,910"
Iron Man 3,tt1300854,7.1,"964,747",79%,62/100,PG-13,"$409,013,994"
Thor: The Dark World,tt1981115,6.7,"776,160",67%,54/100,PG-13,"$206,362,140"
Captain America: The Winter Soldier,tt1843866,7.7,"970,692",90%,70/100,PG-13,"$259,766,572"
Guardians of the Galaxy,tt2015381,8.0,"1,362,435",91%,76/100,PG-13,"$333,718,600"
Avengers: Age of Ultron,tt2395427,7.3,"998,463",75%,66/100,PG-13,"$459,005,868"
Ant-Man,tt0478970,7.2,"778,683",83%,64/100,PG-13,"$180,202,163"
Captain America: Civil War,tt3498820,7.8,"925,892",90%,75/100,PG-13,"$408,084,349"
Doctor Strange,tt1211837,7.5,"877,590",89%,72/100,PG-13,"$232,641,920"
Guardians of the Galaxy Vol. 2,tt3896198,7.6,"828,114",85%,67/100,PG-13,"$389,813,101"
Spider-Man: Homecoming,tt2250912,7.4,"795,043",92%,73/100,PG-13,"$334,952,829"
Thor: Ragnarok,tt3501632,7.9,"892,533",93%,74/100,PG-13,"$315,058,289"
Black Panther,tt1825683,7.3,"907,405",96%,88/100,PG-13,"$700,426,566"
Avengers: Infinity War,tt4154756,8.4,"1,368,739",85%,68/100,PG-13,"$678,815,482"
Ant-Man and the Wasp,tt5095030,7.0,"493,940",87%,70/100,PG-13,"$216,648,740"
Captain Marvel,tt4154664,6.7,"658,051",79%,64/100,PG-13,"$426,829,839"
Avengers: Endgame,tt4154796,8.4,"1,442,446",94%,78/100,PG-13,"$858,373,000"
Spider-Man: Far From Home,tt6320628,7.3,"637,793",91%,69/100,PG-13,"$391,283,774"
Black Widow,tt3480822,6.6,"476,594",79%,68/100,PG-13,"$183,651,655"
Shang-Chi and the Legend of the Ten Rings,tt9376612,7.3,"486,812",92%,71/100,PG-13,"$224,543,292"
Eternals,tt9032400,6.2,"423,444",48%,52/100,PG-13,"$164,870,234"
Spider-Man: No Way Home,tt10872600,8.1,"1,017,543",93%,71/100,PG-13,"$814,866,759"
Doctor Strange in the Multiverse of Madness,tt9419884,6.9,"543,288",73%,60/100,PG-13,"$411,331,607"
Thor: Love and Thunder,tt10648342,6.1,"459,337",64%,57/100,PG-13,"$343,256,830"
Black Panther: Wakanda Forever,tt9114286,6.6,"368,850",84%,67/100,PG-13,"$453,829,060"
Ant-Man and the Wasp: Quantumania,tt10954600,6.0,"268,749",46%,48/100,PG-13,"$214,504,909"
Guardians of the Galaxy Vol. 3,tt6791350,7.9,"470,167",82%,64/100,PG-13,"$358,995,815"
The Marvels,tt10676048,5.5,"161,921",63%,50/100,PG-13,"$84,500,223"
Deadpool & Wolverine,tt6263850,7.5,"565,006",77%,56/100,R,"$636,745,858"
Captain America: Brave New World,tt14513804,5.6,"178,537",46%,42/100,PG-13,"$200,500,001"
Thunderbolts*,tt20969586,7.1,"274,694",88%,68/100,PG-13,"$190,274,328"
